,Ranking,Country,GDP per Capita,2022 Population
0,1,Luxembourg,"$118,001",642371
1,2,Singapore,"$97,057",5943546
2,3,Ireland,"$94,392",5020199
3,4,Qatar,"$93,508",2979915
4,5,Switzerland,"$72,874",8773637
5,6,Norway,"$65,800",5511370
6,7,United States,"$63,416",334805269
7,8,Brunei,"$62,371",445431
8,9,Hong Kong,"$59,520",7604299
9,10,Denmark,"$58,932",5834950
10,11,United Arab Emirates,"$58,753",10081785
11,12,San Marino,"$58,427",34085
12,13,Netherlands,"$57,534",17211447
13,14,Macau,"$56,078",667490
14,16,Taiwan,"$55,724",23888595
15,15,Iceland,"$55,596",345393
16,17,Austria,"$55,218",9066710
17,18,Sweden,"$54,146",10218971
18,19,Germany,"$54,076",83883596
19,20,Australia,"$51,680",26068792
20,21,Belgium,"$51,096",11668278
21,22,Finland,"$49,853",5554960
22,23,Bahrain,"$48,766",1783983
23,24,Canada,"$48,720",38388419
24,25,Saudi Arabia,"$46,811",35844909
25,26,France,"$46,062",65584518
26,27,South Korea,"$44,621",51329899
27,28,United Kingdom,"$44,117",68497907
28,29,Malta,"$42,856",444033
29,30,Japan,"$42,248",125584838
30,31,New Zealand,"$42,018",4898203
31,32,Kuwait,"$41,627",4380326
32,33,Italy,"$40,861",60262770
33,34,Czech Republic,"$40,618",10736784
34,35,Israel,"$40,547",8922892
35,36,Cyprus,"$40,107",1223387
36,38,Slovenia,"$40,067",2078034
37,39,Spain,"$39,121",46719142
38,40,Estonia,"$38,834",1321910
39,37,Lithuania,"$38,824",2661708
40,41,Poland,"$34,103",37739785
41,42,Portugal,"$34,043",10140570
42,43,Puerto Rico,"$34,025",2829812
43,45,Hungary,"$33,030",9606259
44,46,Slovakia,"$32,709",5460193
45,47,Latvia,"$31,509",1848837
46,48,Romania,"$30,526",19031335
47,49,Turkey,"$30,253",85561976
48,50,Oman,"$30,178",5323993
49,51,Aruba,"$29,090",107609
50,52,Greece,"$28,748",10316637
51,53,Russia,"$27,903",145805947
52,54,Croatia,"$27,717",4059286
53,55,Malaysia,"$27,402",33181072
54,56,Panama,"$27,003",4446964
55,57,Kazakhstan,"$26,565",19205043
56,58,Seychelles,"$25,414",99426
57,59,Trinidad And Tobago,"$25,031",1406585
58,60,Bulgaria,"$23,817",6844597
59,61,Chile,"$23,366",19250195
60,62,Uruguay,"$22,459",3496016
61,64,Argentina,"$20,751",46010234
62,65,Mauritius,"$20,292",1274727
63,66,Belarus,"$20,187",9432800
64,67,Costa Rica,"$19,990",5182354
65,68,Guyana,"$19,684",794045
66,69,Maldives,"$19,609",540985
67,71,Serbia,"$19,146",8653016
68,72,Mexico,"$19,130",131562772
69,73,Antigua And Barbuda,"$18,618",99509
70,74,Dominican Republic,"$18,608",11056370
71,75,Thailand,"$18,236",70078203
72,76,Equatorial Guinea,"$17,788",1496662
73,77,China,"$17,192",1448471400
74,78,Botswana,"$16,893",2441162
75,79,North Macedonia,"$16,712",2081304
76,80,Turkmenistan,"$16,520",6201943
77,81,Gabon,"$15,970",2331533
78,82,Grenada,"$15,431",113475
79,83,Bosnia And Herzegovina,"$15,047",3249317
80,84,Georgia,"$14,918",3968738
81,85,Brazil,"$14,916",215353593
82,86,Suriname,"$14,513",596831
83,87,Azerbaijan,"$14,431",10300205
84,88,Colombia,"$14,324",51512762
85,89,Palau,"$14,309",18233
86,90,Albania,"$14,218",2866374
87,91,Barbados,"$13,553",288023
88,93,Armenia,"$13,261",2971966
89,94,Sri Lanka,"$13,214",21575842
90,95,Ukraine,"$13,110",43192122
91,96,Iran,"$13,073",86022837
92,97,Paraguay,"$12,881",7305843
93,98,Moldova,"$12,811",4013171
94,99,Egypt,"$12,790",106156692
95,101,Indonesia,"$12,222",279134505
96,102,Bhutan,"$12,060",787941
97,103,South Africa,"$12,032",60756135
98,104,Peru,"$11,871",33684208
99,105,Mongolia,"$11,825",3378078
100,106,Fiji,"$11,567",909466
101,107,Lebanon,"$11,564",6684849
102,109,Algeria,"$11,112",45350148
103,110,Dominica,"$11,072",72344
104,111,Ecuador,"$11,009",18113361
105,112,Vietnam,"$10,869",98953541
106,113,Jordan,"$10,306",10300869
107,114,Tunisia,"$10,120",12046656
108,115,Iraq,"$10,003",42164965
109,116,Jamaica,"$9,975",2985094
110,117,Nauru,"$9,856",10903
111,118,Namibia,"$9,396",2633874
112,119,Eswatini,"$8,957",1184817
113,120,Philippines,"$8,452",112508994
114,121,El Salvador,"$8,422",6550389
115,122,Bolivia,"$8,344",11992656
116,123,Guatemala,"$8,293",18584039
117,124,Laos,"$8,111",7481023
118,125,Morocco,"$7,620",37772756
119,126,Uzbekistan,"$7,449",34382084
120,127,Angola,"$6,932",35027343
121,128,India,"$6,461",1406631776
122,130,Tonga,"$6,191",107749
123,131,Belize,"$6,046",412190
124,132,Libya,"$5,893",7040745
125,133,Mauritania,"$5,834",4901981
126,134,Ghana,"$5,693",32395450
127,135,Samoa,"$5,653",202239
128,136,Nicaragua,"$5,575",6779100
129,137,Honduras,"$5,450",10221247
130,139,Ivory Coast,"$5,365",27742298
131,140,Bangladesh,"$5,307",167885689
132,141,Myanmar,"$5,242",55227143
133,142,Nigeria,"$5,187",216746934
134,143,Venezuela,"$5,178",29266991
135,144,Pakistan,"$5,150",229488994
136,145,Djibouti,"$5,096",1016097
137,146,Kyrgyzstan,"$5,036",6728271
138,147,Kenya,"$4,926",56215221
139,148,Cambodia,"$4,695",17168639
140,149,Tuvalu,"$4,497",12066
141,150,Republic of the Congo,"$4,188",5797805
142,151,Sudan,"$4,098",45992020
143,152,Nepal,"$4,061",30225582
144,153,Papua New Guinea,"$3,833",9292169
145,155,Marshall Islands,"$3,786",60057
146,156,Tajikistan,"$3,676",9957464
147,157,Cameroon,"$3,646",27911548
148,158,Senegal,"$3,478",17653671
149,159,Micronesia,"$3,446",117489
150,160,Benin,"$3,437",12784726
151,161,Timor Leste,"$3,382",1369429
152,162,Zambia,"$3,342",19470234
153,163,Comoros,"$3,048",907419
154,164,Haiti,"$2,916",11680283
155,165,Ethiopia,"$2,908",120812698
156,166,Tanzania,"$2,821",63298550
157,167,Lesotho,"$2,718",2175699
158,168,Zimbabwe,"$2,622",15331428
159,169,Guinea,"$2,604",13865691
160,170,Vanuatu,"$2,586",321832
161,171,Uganda,"$2,574",48432863
162,172,Solomon Islands,"$2,455",721159
163,173,Mali,"$2,401",21473764
164,174,Afghanistan,"$2,390",40754388
165,175,Guinea Bissau,"$2,348",2063367
166,176,Rwanda,"$2,337",13600464
167,177,Gambia,"$2,276",2558482
168,178,Burkina Faso,"$2,262",22102838
169,179,Kiribati,"$2,200",123419
170,180,Togo,"$2,199",8680837
171,181,Yemen,"$1,927",31154867
172,182,Eritrea,"$1,821",3662244
173,183,Sierra Leone,"$1,725",8306436
174,184,Chad,"$1,611",17413580
175,185,Madagascar,"$1,599",29178077
176,186,Liberia,"$1,557",5305117
177,187,Mozambique,"$1,277",33089461
178,188,Niger,"$1,259",26083660
179,189,DR Congo,"$1,106",95240792
180,190,Malawi,$993,20180839
181,191,Central African Republic,$979,5016678
182,192,Somalia,$925,16841795
183,193,South Sudan,$791,11618511
184,194,Burundi,$760,12624840
